tiktoker_name,tiktok_name,subscribers_count,views_avg,likes_avg,comments_avg,shares_avg
tuckerbudzyn,tuckerbudzyn,10100000.0,4000000.0,63860000.0,330000.0,1670000.0
jaykindafunny8,Jaykindafunny,23300000.0,9600000.0,68570000.0,240000.0,520000.0
solsito.pe,Solsito.pe,8020000.0,3500000.0,50310000.0,1060000.0,1780000.0
jake2r,"Jake2r, Ph.D.",2100000.0,2800000.0,73960000.0,520000.0,1710000.0000000002
thejoeyswoll,Joey Swoll,2400000.0,5300000.0,80450000.0,840000.0,250000.0
kallmekris,Kris HC,43300000.0,5400000.0,98800000.0,550000.0,310000.0
jdpantoja,JD Pantoja,26800000.0,4800000.0,94220000.0,869999.9999999999,130000.0
datvilla94,🔥Đạt Villa🔥,5200000.0,5700000.0,65910000.0,810000.0,310000.0
haileybieber,Hailey Bieber,7700000.0,5700000.0,81050000.0,630000.0,270000.0
big.johns,Big Johns,14030000.000000002,3100000.0,47650000.0,1839999.9999999998,869999.9999999999
cleanpuppy,Chloe Cherry,1700000.0,4800000.0,98020000.0,570000.0,290000.0
arabstay,𝕊𝕥𝕣𝕒𝕪 𝕜𝕚𝕕𝕤,21900000.0,2600000.0,77020000.0,1170000.0,819999.9999999999
aitch12,Aitch,1800000.0,5300000.0,42110000.0,760000.0,980000.0000000001
doctorgraves,Dr.Graves,2700000.0,5000000.0,87970000.0,280000.0,590000.0
fredziownik_art,Franek Bielak,11800000.0,6300000.0,78190000.0,650000.0,120000.0
vibin.wit.tay,Tay,3300000.0,3300000.0,68940000.0,400000.0,1260000.0
cedriklorenzen,Cedrik Lorenzen,2100000.0,4000000.0,45700000.0,790000.0,1240000.0
vanessalopesr,Vanessa Lopes,21300000.0,5900000.0,63710000.0,640000.0,290000.0
rustam_mayer_djavid,RUSTAM MAYER,4300000.0,7800000.0,39080000.0,160000.0,969999.9999999999
soojinicoreana,Chingu Amiga,17300000.0,6500000.0,1000000.0,390000.0,140000.0
jinisprotips,💡 Jini 💡,71370000.0,3700000.0,46760000.0,690000.0,1290000.0
esen_alva,Esen,3100000.0,3300000.0,53629999.99999999,330000.0,1550000.0
drew.nori,Drew Nori,4700000.0,8100000.0,38790000.0,969999.9999999999,
wuesilva,Wue Silva,11800000.0,4500000.0,58400000.0,1060000.0,180000.0
thallyssonsb,Thallysson Borges,8500000.0,3600000.0,62900000.0,600000.0,819999.9999999999
natemyburgh,Nate,30639999.999999996,3400000.0,72490000.0,360000.0,900000.0
soso_aroundtheworld,Sosonebieridze,10980000.0,3000000.0,42000000.0,1080000.0,1320000.0
newboyjosh,Newboyjosh,34050000.0,4000000.0,44500000.0,640000.0,1040000.0
initiaraandini,tiara andini,4099999.9999999995,7400000.0,65160000.0,440000.00000000006,180000.0
iamkevingates,Kevin Gates,2100000.0,3500000.0,41360000.0,940000.0,1130000.0
max7424453118,Max Taylor,2800000.0,3500000.0,57260000.0,520000.0,950000.0
danya_milokhin,danya_milokhin,16500000.0,6300000.0,73320000.0,459999.99999999994,170000.0
samanthalogan,Samantha Logan,1800000.0,6000000.0,84090000.0,300000.0,280000.0
jakekrantz1,Jake Krantz,2100000.0,3600000.0,77230000.0,320000.0,710000.0
fujiiian,Fuji,12700000.0,6200000.0,76040000.0,340000.0,260000.0
vincentmarcus,VincentMarcus,2500000.0,10700000.0,25040000.0,229999.99999999997,819999.9999999999
hongthanhofficial,HongThanhOfficial,1300000.0,7700000.0,67560000.0,270000.0,270000.0
kervo.dolo,Kervo.dolo,7500000.0,3900000.0,60640000.0,440000.00000000006,710000.0
zachjustice,Zach Justice,3900000.0,6000000.0,79370000.0,100000.0,459999.99999999994
qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2800000.0,3600000.0,34800000.0,1019999.9999999999,1080000.0
fortnitekanal.exe,Fortnitekanal.exe,1400000.0,2200000.0,53940000.0,1400000.0,780000.0
m.wardy_14,وردى,6759999.999999999,1900000.0,46550000.0,380000.0,2480000.0
ynchq,ЯN,3700000.0,3900000.0,64510000.0,409999.99999999994,580000.0
nilered,NileRed,8700000.0,4000000.0,72580000.0,540000.0,320000.0
besttoks,besttoks,2200000.0,17400000.0,45160000.0,110000.00000000001,210000.0
miketoks,Miketoks,11600000.0,6200000.0,59970000.00000001,250000.0,400000.0
tiktokmena,TikTok MENA,5700000.0,39500000.0,17920000.0,120000.0,220000.00000000003
eyavanana,Eya,10800000.0,4600000.0,72530000.0,500000.0,210000.0
john.leitao,John Leitão,2700000.0,4300000.0,38090000.0,780000.0,640000.0
brunodiferente2022,Bruno Diferente,4000000.0,6600000.0,11670000.0,600000.0,2240000.0
sugarcoatedsisters,Tabby and Chloe,32030000.0,3200000.0,52379999.99999999,260000.0,1050000.0
hesfinatia,PINAT🍅|| IG: @hesfinatia,8300000.000000001,8600000.0,93690000.0,180000.0,
vadik_dikiy,vadik_dikiy,91480000.0,3200000.0,48910000.0,200000.0,1180000.0
championsleague,Champions League,11600000.0,3600000.0,62829999.99999999,420000.0,509999.99999999994
esnyrrr,Esnyr Ranollo,4400000.0,3500000.0,64529999.99999999,450000.0,480000.0
savanahmosss,Savanah Moss,9300000.0,4500000.0,70300000.0,409999.99999999994,250000.0
dindahw14,Dinda Hauw,3000000.0,7900000.0,68920000.0,200000.0,180000.0
joshiiwuhhh,Joshua Alden,3200000.0,2900000.0,55550000.0,370000.0,880000.0000000001
j3ipy_,Jeipy,7800000.0,4300000.0,76070000.0,330000.0,280000.0
morganpresleyxo,Morgan Presley,5300000.0,4800000.0,63850000.0,310000.0,350000.0
skaijackson,Skai Jackson 🥰,19700000.0,5200000.0,82400000.0,310000.0,150000.0
ssmaaaryy,Razi Monroe,6800000.0,6400000.0,58629999.99999999,280000.0,240000.0
vhackerr,Vinnie,13900000.0,2900000.0,59370000.00000001,780000.0,360000.0
tranvantre992,Trần Tre Vlogs 🐉,75930000.0,9100000.0,47290000.0,370000.0,
jwaltonnn,ᴊ⚡️,73340000.0,1700000.0,36940000.0,2800000.0,250000.0
kubenjoy,KUBenjoy,3500000.0,4200000.0,47630000.0,500000.0,450000.0
